symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,combined_score
ASR/USDT:USDT,3.4,-0.3834995466908432,0.45922746781115875,14.398318444561227,-0.4709666544761922,33938170.15757037,4.022294214593475,Sell,5.0,Oversold,7.29,0.94,97.58,53.8,daily,2025-08-21 14:03:16.483236+00:00,0.15917117085108132,28.68621041931774,7.4374460742019,3.4444868870483654,False,False,False,False,False,False,5.236377551020408,-0.3506961698479047,5.236377551020408,3.5854999999999997,bull,3.533955999999999,10.573888,20,65.92999999999999
ALPINE/USDT:USDT,1.9693,0.5157789408866997,1.1017075773746,69.99480602501099,0.054377909237944055,27842235.889620278,0.21866435362830924,Buy,79.7188954618972,Consistent Uptrend,9.0,0.801,94.33,6.24,daily,2025-08-21 14:03:17.286030+00:00,0.7533396508357091,53.77685359632523,62.553455221568015,66.34528106167487,True,True,False,True,True,False,0.7961510204081632,1.4735256873631812,0.7961510204081632,2.0544377551020405,bull,1.8402128000000002,3.0956312,20,64.98077909237944
LINK/USDT:USDT,25.851,0.1516460997015192,0.3143016930194722,68.99316441383563,0.3613834281120083,405495712.2459364,0.8464617690219379,Buy,90.0,Consistent Uptrend,7.94,0.866,91.54,1.95,daily,2025-08-21 14:02:33.997483+00:00,0.8256697833630682,36.70571617956141,88.2540043167102,84.79652355567362,True,True,True,True,True,True,13.005030612244898,0.9877692541269351,13.005030612244898,25.072785714285715,bull,26.885,30.738968000000003,20,64.355
BNB/USDT:USDT,852.8,0.014272121788772685,0.08278313864906028,65.4841057995632,1.1007898168262464,515476897.56419337,0.9876298705647001,Weak Buy,89.2721217887727,Neutral,8.07,0.644,89.46,2.27,daily,2025-08-21 14:02:01.235862+00:00,0.7748956087103077,38.42935829641668,69.31554524361945,73.96553238478776,True,True,True,True,True,True,665.9432653061224,0.2805895703562417,665.9432653061224,824.9019387755102,bull,827.65456,950.1028799999999,20,63.26542435775453
VVV/USDT:USDT,3.559,0.26609747420846674,0.08704948075748331,68.40917638209854,0.10962323798066603,41431420.23214824,1.220950040057065,Buy,90.4811618990333,MACD Bullish,7.04,0.695,80.83,11.61,daily,2025-08-21 14:03:23.474221+00:00,0.7094046992164137,25.445773693096776,46.43510054844607,65.78660606046321,False,False,False,True,True,False,6.102795918367347,-0.41682467386978866,6.102795918367347,3.386734693877551,bull,3.556,5.3702,20,61.99423237980666
EPIC/USDT:USDT,2.6543,0.41321478010861457,0.15349180826561226,60.89777310187621,0.04918915500975923,31719228.824300308,0.6886304644770401,Strong Buy,79.45945775048796,MACD Bullish,8.08,0.766,86.43,4.88,daily,2025-08-21 14:02:38.795435+00:00,0.7279859782315177,38.54069675540614,62.36908391886518,78.57876280566582,True,True,False,True,True,False,1.84125,0.44157501697216567,1.84125,2.5922224489795918,bull,2.6322596000000003,3.9017008,20,60.57089155009759
TUT/USDT:USDT,0.06093,0.021458507963118212,0.010112732095490795,57.93708851499633,0.0001840788129604023,41284095.11157374,2.456052935481643,Weak Buy,80.06556998839342,Lagging,2.27,0.259,57.68,51.96,daily,2025-08-21 14:02:42.783503+00:00,0.6663122914717645,15.910063168611336,55.577689243027834,65.97154081574656,False,True,False,True,True,False,0.04182816326530612,0.4566740502932309,0.04182816326530612,0.06000632653061225,bull,0.05955868,0.09089664,20,60.441113997678684
AERO/USDT:USDT,1.3434,0.02385488910906175,0.36927938028743235,67.2709782447832,0.010769638401497833,21053957.93462867,0.40797232891754764,Weak Buy,77.53848192007489,Consistent Uptrend,8.34,0.52,84.27,3.07,daily,2025-08-21 14:02:47.393997+00:00,0.7138257489535841,41.68818940009767,79.33311323869263,78.59664177742145,True,True,True,True,True,True,0.7589765306122449,0.7700152057617871,0.7589765306122449,1.2125520408163264,bull,1.2786199999999999,1.68756,20,58.563696384014975
BIO/USDT:USDT,0.15157,0.48743866535819436,1.2123777550722523,71.14444979698575,0.003925055082440777,62997514.93853489,0.8458945451787644,Buy,70.19625275412204,Consistent Uptrend,9.74,0.752,84.52,5.23,daily,2025-08-21 14:03:09.895034+00:00,0.9048574268206343,46.71341202022638,74.61371055495104,73.3955594234814,True,True,True,True,True,False,0.0667204081632653,1.2717187165448265,0.0667204081632653,0.10177142857142857,bull,0.14494924,0.20941952,20,57.86825055082441
PHA/USDT:USDT,0.11934,0.12733799357642184,-0.06282393591958546,61.098221191028614,0.0010255880442052593,17218180.839589488,2.757131067041216,Buy,25.051279402210263,MACD Bullish,4.08,0.498,74.33,52.27,daily,2025-08-21 14:03:05.896474+00:00,0.9973733242033823,11.396352493711982,79.8115746971736,63.34290736124948,True,False,False,True,True,False,0.1115130612244898,0.07018853836102296,0.1115130612244898,0.11375755102040817,bear,0.13096,0.12038736,20,57.856255880442056
